Двигатель;Номер детали;Исходное (обрезанное) значение;Поиск в Google;Что делать
NTE240;203933;"02T2-1,01T2";https://www.google.com/search?q=Cummins%20203933%20bulletin%20filetype%3Apdf;Открыть деталь 203933 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;205168;"06T8-2,08T8";https://www.google.com/search?q=Cummins%20205168%20bulletin%20filetype%3Apdf;Открыть деталь 205168 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;205401;"02T2-1,96T2";https://www.google.com/search?q=Cummins%20205401%20bulletin%20filetype%3Apdf;Открыть деталь 205401 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;206391;"08T8-6,06T8";https://www.google.com/search?q=Cummins%20206391%20bulletin%20filetype%3Apdf;Открыть деталь 206391 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;206506;"08T8-6,06T8";https://www.google.com/search?q=Cummins%20206506%20bulletin%20filetype%3Apdf;Открыть деталь 206506 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3021618;"02T7-3,04T7";https://www.google.com/search?q=Cummins%203021618%20bulletin%20filetype%3Apdf;Открыть деталь 3021618 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3035026;"TSB200223,0";https://www.google.com/search?q=Cummins%203035026%20bulletin%20filetype%3Apdf;Открыть деталь 3035026 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3048625;"06T8-2,08T8";https://www.google.com/search?q=Cummins%203048625%20bulletin%20filetype%3Apdf;Открыть деталь 3048625 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3082315;"02T0-4,TSB2";https://www.google.com/search?q=Cummins%203082315%20bulletin%20filetype%3Apdf;Открыть деталь 3082315 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3085709;"TSB240001,0";https://www.google.com/search?q=Cummins%203085709%20bulletin%20filetype%3Apdf;Открыть деталь 3085709 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3087279;"TSB220146,T";https://www.google.com/search?q=Cummins%203087279%20bulletin%20filetype%3Apdf;Открыть деталь 3087279 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3088386;"02T0-8,92T1";https://www.google.com/search?q=Cummins%203088386%20bulletin%20filetype%3Apdf;Открыть деталь 3088386 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3089019;"02T0-8,02T0";https://www.google.com/search?q=Cummins%203089019%20bulletin%20filetype%3Apdf;Открыть деталь 3089019 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3089232;"TSB240217,0";https://www.google.com/search?q=Cummins%203089232%20bulletin%20filetype%3Apdf;Открыть деталь 3089232 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3089238;"02T7-3,01T7";https://www.google.com/search?q=Cummins%203089238%20bulletin%20filetype%3Apdf;Открыть деталь 3089238 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3089240;"02T0-4,05T5";https://www.google.com/search?q=Cummins%203089240%20bulletin%20filetype%3Apdf;Открыть деталь 3089240 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3089392;"02T0-8,02T0";https://www.google.com/search?q=Cummins%203089392%20bulletin%20filetype%3Apdf;Открыть деталь 3089392 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3090400;"TSB250148,0";https://www.google.com/search?q=Cummins%203090400%20bulletin%20filetype%3Apdf;Открыть деталь 3090400 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3093807;"05T13-5,05T";https://www.google.com/search?q=Cummins%203093807%20bulletin%20filetype%3Apdf;Открыть деталь 3093807 на quickserve.cummins.com — там указан полный список тем/бюллетеней
NTE240;3093826;"TSB240233,T";https://www.google.com/search?q=Cummins%203093826%20bulletin%20filetype%3Apdf;Открыть деталь 3093826 на quickserve.cummins.com — там указан полный список тем/бюллетеней
